original_column_name,column_name,column_description,data_format,value_description
REC_COMP,,TEXT. Identifier linking regulatory-compliance data to a market-condition set. PK. FK to market_conditions(REC_PIN).,text,
file_state,,"TEXT. Filing-status state. Possible values: Current, Delayed, Missing.",text,
disc_state,,"TEXT. Disclosure-status state. Possible values: Full, Non-compliant, Partial.",text,
restrict_win,,"TEXT. Trading-restriction window status. **NULL means restriction window not defined.**. Possible values: Blackout, Special.",text,
broker_flag,,"TEXT. Flag indicating broker-dealer involvement. **NULL means broker-flag unset.**. Possible values: Complete, Incomplete, Late.",text,
exch_note,,"TEXT. Exchange note or comment. **NULL means no exchange note present.**. Possible values: Inquiry, Warning.",text,
invest_stat,,"TEXT. Current investment-status designation. **NULL means investment status not specified.**. Possible values: Active, Preliminary.",text,
alert_lvl,,"TEXT. Alert-level assigned by compliance monitoring. Possible values: Critical, High, Low, Medium.",text,
invest_prior,,"TEXT. Investigation-priority indicator. Possible values: High, Low, Medium.",text,
case_flag,,"TEXT. Flag indicating an open compliance case. Possible values: Closed, Investigation, Monitoring.",text,
review_freq,,"TEXT. Recommended frequency of compliance reviews. **NULL means review frequency not defined.**. Possible values: Daily, Monthly, Weekly.",text,
last_rev,,DATE. Date of the most recent compliance review. Example: 2025/02/02.,date,
next_rev,,"DATE. Scheduled date of the next compliance review. Example: March 19, 2025.",date,
mon_inten,,"TEXT. Monitoring-intensity setting. Possible values: Enhanced, Intensive, Standard.",text,
sv_sys,,"TEXT. Surveillance system used. Possible values: Multiple, Primary, Secondary.",text,
det_meth,,"TEXT. Detection method applied. Possible values: Automated, Hybrid, Manual.",text,
fp_rate,,REAL. False-positive rate of the detection system. Example: 0.033.,real,
model_conf,,REAL. Confidence score of the detection model. Example: 0.883.,real,
pat_rec,,REAL. Pattern-recognition metric for compliance. Example: 42.51.,real,
behav_score,,REAL. Behavioural risk score from compliance analytics. Example: 37.76.,real,
net_score,,REAL. Network-based compliance risk score. Example: 68.91.,real,
reg_alert_conc,,TEXT. The concentration of regulatory alerts per billion USD of trading volume. Helps identify market manipulation risks. Example: 45.2 alerts/billion USD.,text,
reg_resp_spd,,"TEXT. The speed of regulatory response, measured in hours per case. A lower value indicates faster response times. Example: 42.3 hours/case.",text,
compliance_data,,"JSONB column. Regulatory compliance data including violations and risk.
Fields: {""comp_rate"":""TEXT. Compliance rate category. Possible values: A, B, C, D."",""prev_viol"":""BIGINT. Count of previous regulatory violations. Possible values: 0, 1, 2, 3, 4, 5."",""risk_val"":""REAL. Quantitative risk value for compliance breaches. Example: 58.84.""}",jsonb,
