original_column_name,column_name,column_description,data_format,value_description
signalref,,Full name: 'Signal Registry Reference'. Explanation: Foreign key referencing the main signal. Data type: CHAR(36). Example: 'SIG-JKL-3456'.,character,
sigintegrity,,"Full name: 'Signal Integrity'. Explanation: Rating of how intact or uncorrupted the signal is. Data type: VARCHAR(30). If no fixed categories, example: 'HighIntegrity'.",character varying,
sigrecurr,,"Full name: 'Signal Recurrence'. Explanation: Whether the signal recurs over time. Data type: VARCHAR(25). Possible categories: None, Regular, Sporadic.",character varying,
sigevolve,,"Full name: 'Signal Evolution'. Explanation: Indicates if the signal changes/evolves during observation. Data type: VARCHAR(25). Possible categories: Dynamic, Static, Unknown.",character varying,
tempstab,,"Full name: 'Temporal Stability'. Explanation: How stable the signal remains over time. Data type: VARCHAR(20). If no fixed categories, example: 'Stable'.",character varying,
spatstab,,"Full name: 'Spatial Stability'. Explanation: How stable the signal is spatially (e.g., consistent direction). Data type: VARCHAR(20). If no fixed categories, example: 'Moderate'.",character varying,
freqstab,,"Full name: 'Frequency Stability'. Explanation: How stable the signal’s frequency is. Data type: VARCHAR(35). If no fixed categories, example: 'HighlyStable'.",character varying,
phasestab,,"Full name: 'Phase Stability'. Explanation: Any variation in signal phase. Data type: VARCHAR(35). If no fixed categories, example: 'VaryingPhase'.",character varying,
ampstab,,"Full name: 'Amplitude Stability'. Explanation: Consistency of signal amplitude. Data type: VARCHAR(20). If no fixed categories, example: 'Unstable'.",character varying,
modstab,,"Full name: 'Modulation Stability'. Explanation: Consistency in the signal’s modulation scheme. Data type: VARCHAR(30). If no fixed categories, example: 'Consistent'.",character varying,
sigcoherence,,"Full name: 'Signal Coherence'. Explanation: How coherent the signal remains over its duration. Data type: VARCHAR(25). If no fixed categories, example: 'HighCoherence'.",character varying,
sigdisp,,"Full name: 'Signal Dispersion'. Explanation: The degree to which the signal is dispersed (time/frequency smearing). Data type: VARCHAR(25). If no fixed categories, example: 'SignificantDisp'.",character varying,
sigscint,,"Full name: 'Signal Scintillation'. Explanation: Fluctuation in signal amplitude due to propagation effects. Data type: VARCHAR(45). If no fixed categories, example: 'MildScintillation'.",character varying,
