original_column_name,column_name,column_description,data_format,value_description
securitytrace,,SERIAL primary key uniquely identifying each security profile record.,integer,
flowkey,,CHAR(10) referencing DataFlow(RecordRegistry). Associates security details with a data flow.,character,
riskkey,,INT referencing RiskManagement(RiskTrace). Links security measures to a risk record.,integer,
profilekey,,INT referencing DataProfile(ProfileTrace). Ties security info to a data profile.,integer,
recordregistry,,CHAR(10) optional cross-reference historically called 'RecordID'.,character,
encstate,,"encryptionstatus_enum. Possible values: (Full, Partial).",USER-DEFINED,
encmeth,,"VARCHAR(40) describing the encryption method used (AES, RSA, etc.). Currently possible values: (SM4, Custom, RSA-2048, AES-256).",character varying,
keymanstate,,"VARCHAR(40) for key management status. Currently possible values: (Hybrid, Distributed, Centralized).",character varying,
masklevel,,"partialnone_enum enumerating data masking. Currently possible values: (Partial, Full).",USER-DEFINED,
anonmeth,,"VARCHAR(40) describing the anonymization methodology. Currently possible values: (T-Closeness, K-Anonymity, L-Diversity).",character varying,
psymstate,,"VARCHAR(40) describing pseudonymization status. Currently possible values: (Partial, Applied).",character varying,
authmeth,,"VARCHAR(40) specifying the authentication method (Basic, OAuth, SAML, etc.). Currently possible values: (Basic, SSO, MFA).",character varying,
authzframe,,"VARCHAR(45) specifying the authorization framework (RBAC, ABAC, etc.). Currently possible values: (ABAC, Custom, RBAC).",character varying,
aclstate,,"VARCHAR(30) describing the current access control status. Currently possible values: (Adequate, Strong, Weak).",character varying,
apisecstate,,"VARCHAR(30) enumerating the API security posture. Currently possible values: (Vulnerable, Secure, Review Required).",character varying,
logintcheck,,"VARCHAR(30) specifying the log integrity check mechanism. Currently possible values: (Pending, Passed, Failed).",character varying,
logretdays,,SMALLINT indicating how many days audit logs are retained.,smallint,
bkpstate,,"VARCHAR(35) describing the backup status. Currently possible values: (Current, Failed, Outdated).",character varying,
drecstate,,"VARCHAR(35) describing the disaster recovery status. Currently possible values: (Untested, Tested, Missing).",character varying,
bcstate,,"VARCHAR(35) storing the business continuity status or plan stage. Currently possible values: (Active, Outdated, Review Required).",character varying,
